episode,run0,run1,run2,run3,run4
132,-93.91242943196976,-91.54127729096567,-84.77403970019289,-92.37987914063659,-80.32743504452294
133,-92.45341263378126,-81.66832441922766,-78.13296017761479,-86.2792564593528,-95.70745061343746
134,-92.95964783546718,-73.6039628585432,-88.03659752924939,-93.0083917056551,-79.80016329527515
135,-90.87707533129728,-79.11437778530961,-92.4875819799601,-87.00647880255417,-82.53254170434089
136,-91.66034095776996,-94.85151118852744,-90.53984207689838,-76.51175162304027,-89.19376964179975
137,-87.99298656224829,-88.29355118198858,-99.12149306881282,-88.37355665869754,-91.08882445753699
138,-84.11949351009727,-91.96902775225658,-83.05806927514367,-82.73593940629698,-77.67821497482252
139,-93.06760192681736,-76.16885381317084,-83.87147277670445,-84.28595760064056,-90.37825114868055
140,-93.96026127659847,-85.3090113568939,-73.09108136787955,-90.33028829012785,-84.63534547454094
141,-91.61582063557142,-80.41656881938337,-82.34519727954395,-91.3941808970465,-71.65945347084893
142,-84.99081614484291,-91.0120822603878,-76.6058240001407,-79.0439076333654,-87.94360442449083
143,-93.87097621591268,-76.91122457947755,-78.18145496549947,-89.96242325846455,-98.8247992302101
144,-89.38912368450201,-79.99069528870642,-77.26682540272112,-89.64936967304958,-86.24120492702674
145,-90.53831660582502,-74.71173439848585,-73.78314566575807,-101.45357260520497,-80.55073535574417
146,-93.76126707407238,-76.00931034547192,-98.14211869877867,-97.88709708497677,-102.18116565706897
147,-97.09787308484043,-87.89256012081006,-80.67943976923131,-96.64501152158394,-74.39013356505815
148,-91.41538563950873,-89.90898933029742,-76.69864290233747,-74.5881919368127,-69.29140933400522
149,-95.03776559446281,-76.69161558335406,-90.43770273625861,-76.16988426502124,-75.48215437026639
150,-87.76770581079771,-85.59882343464551,-77.44418178690289,-84.85230643532752,-75.9795486381297
151,-99.95645226688069,-91.1200975818675,-87.93286244270992,-92.86553792150731,-90.65788370213716
152,-83.5601979196571,-81.76384244777137,-85.6177603850413,-95.32632899019474,-87.4466674232723
153,-83.41232827354813,-80.28206547244564,-90.09936618968726,-72.69821773682187,-97.29263896382686
154,-96.47479101204925,-86.04791212174807,-90.5687398846574,-86.31900360302205,-93.45773101098484
155,-88.05053300037179,-99.89681846373648,-94.33878058205485,-90.17057916245112,-73.97666037160771
156,-87.48653348810943,-81.52089458579213,-86.85447359392286,-85.32701294159031,-103.2019352030565
157,-98.09006253133441,-67.24412254149402,-84.48470427656493,-90.2991829178208,-79.90727041487943
158,-99.02752563964243,-82.29560194233356,-80.07472063036063,-77.02454492331984,-78.64987803102694
159,-99.50882052386035,-76.75650388576793,-85.41674962371843,-86.2606384769358,-96.94554486815346
160,-85.14603438429357,-81.31964324647831,-89.66137130665409,-92.27240919360422,-87.16761291964804
161,-88.43826973481157,-91.6975837208394,-78.5498940294698,-76.15811315203275,-99.99988747317782
162,-99.89042357030974,-78.14380677695786,-76.66811925373449,-83.91361317239378,-80.57320649956065
163,-91.40156944134458,-83.24230116698257,-85.91450969862561,-87.58449297008937,-92.96895687259938
164,-89.06026544851767,-79.11453629621117,-83.85529277875388,-82.16410898988988,-97.09690290881056
165,-95.95535952728397,-74.80833302568485,-94.31703800253378,-89.12461462139407,-80.70859365427644
166,-91.91753239545233,-79.43483193714395,-76.20324794956106,-84.83491048762541,-67.89754831941204
167,-84.577417868776,-79.68468751420701,-79.37170336245008,-80.96255090973824,-84.99788032176248
168,-87.84867382046473,-79.60726171744655,-89.85582477399053,-82.67202642622372,-97.36796215756137
169,-93.8301024002977,-77.21366091983582,-78.9355934193959,-89.15909174484892,-96.01563480050082
170,-84.07497311987568,-85.71822312632789,-78.45094061989482,-94.41970570080692,-91.80700668003615
171,-80.28571085933548,-84.56362980505072,-82.99860518785592,-86.65556818203095,-92.81347021126949
172,-89.82205809817906,-78.45269792096722,-79.69227323711993,-95.0810357064969,-93.78975121428317
173,-92.9893926129407,-84.57769195909398,-90.63263361699556,-86.67484428628504,-103.42997095808218
174,-86.88236452877204,-89.98345022264355,-87.16232699267543,-72.26716293686718,-92.51713926904594
175,-97.82737339153633,-85.63273330744695,-83.72668567808441,-80.88327149941838,-89.62934241938237
176,-90.30211271672336,-82.99045675482246,-89.72306003446755,-81.58248838286302,-82.91217719746341
177,-96.26958781921829,-78.00812140688431,-92.59978192964003,-77.44431112568118,-72.06627437551013
178,-101.41723160623164,-96.14483954521575,-83.39368150723955,-99.50972802397116,-92.27189039296758
179,-84.53877360536046,-81.42298564864544,-84.76232921550772,-97.11671381182512,-97.0346988586317
180,-92.67619143103654,-92.90627547577166,-83.87891022357427,-78.3730340523516,-91.87068242633123
181,-86.2547992743178,-89.45825594721701,-84.81803292579704,-96.19389097846992,-72.98444695067278
182,-90.20848656825817,-100.49343646567098,-85.95778127632647,-95.36890428675662,-95.73223380150975
183,-84.86117811564459,-84.57432486228456,-82.85085988607418,-97.59366839234121,-89.5219634373766
