episode,run0,run1,run2,run3,run4
526,61.0,240.0,273.0,52.0,76.0
527,287.0,52.0,97.0,47.0,12.0
528,152.0,235.0,120.0,2.0,136.0
529,7.0,104.0,5.0,37.0,33.0
530,86.0,25.0,132.0,19.0,185.0
531,77.0,61.0,106.0,8.0,260.0
532,19.0,324.0,274.0,232.0,61.0
533,103.0,296.0,53.0,150.0,56.0
534,51.0,71.0,170.0,176.0,245.0
535,89.0,118.0,205.0,21.0,155.0
536,82.0,169.0,3.0,40.0,85.0
537,153.0,87.0,78.0,167.0,53.0
538,286.0,259.0,150.0,149.0,107.0
539,163.0,204.0,69.0,63.0,181.0
540,94.0,46.0,184.0,47.0,138.0
541,3.0,122.0,278.0,46.0,193.0
542,81.0,105.0,15.0,3.0,94.0
543,47.0,61.0,44.0,63.0,151.0
544,78.0,147.0,7.0,60.0,149.0
545,50.0,166.0,57.0,62.0,216.0
546,64.0,52.0,8.0,58.0,60.0
547,50.0,76.0,50.0,73.0,11.0
548,49.0,5.0,16.0,64.0,249.0
549,2.0,131.0,58.0,66.0,49.0
550,58.0,71.0,74.0,44.0,64.0
551,4.0,14.0,21.0,59.0,37.0
552,5.0,29.0,121.0,49.0,60.0
553,45.0,149.0,7.0,224.0,179.0
554,54.0,14.0,38.0,403.0,148.0
555,45.0,228.0,42.0,5.0,85.0
556,3.0,250.0,143.0,234.0,313.0
557,49.0,52.0,171.0,67.0,54.0
558,45.0,54.0,195.0,81.0,40.0
559,62.0,228.0,88.0,513.0,51.0
560,59.0,102.0,242.0,122.0,4.0
561,60.0,35.0,74.0,49.0,3.0
562,53.0,137.0,245.0,5.0,52.0
563,56.0,367.0,510.0,48.0,56.0
564,671.0,50.0,13.0,208.0,45.0
565,166.0,62.0,113.0,76.0,56.0
566,158.0,166.0,182.0,11.0,72.0
567,97.0,11.0,17.0,220.0,293.0
568,195.0,436.0,71.0,48.0,395.0
569,51.0,93.0,403.0,39.0,398.0
570,62.0,88.0,96.0,383.0,22.0
571,170.0,196.0,29.0,36.0,160.0
572,34.0,87.0,12.0,59.0,35.0
573,28.0,87.0,246.0,10.0,51.0
574,146.0,49.0,79.0,3.0,172.0
575,214.0,26.0,105.0,65.0,65.0
576,214.0,117.0,73.0,429.0,128.0
577,185.0,48.0,59.0,95.0,58.0
578,47.0,95.0,3.0,65.0,91.0
579,2.0,94.0,125.0,67.0,72.0
580,54.0,74.0,100.0,105.0,5.0
581,369.0,26.0,92.0,108.0,110.0
582,119.0,55.0,61.0,98.0,137.0
583,58.0,191.0,61.0,144.0,3.0
584,68.0,54.0,54.0,52.0,78.0
585,192.0,10.0,53.0,9.0,42.0
586,141.0,80.0,150.0,125.0,15.0
587,14.0,32.0,234.0,36.0,178.0
588,282.0,198.0,268.0,129.0,67.0
589,288.0,104.0,25.0,99.0,484.0
590,143.0,167.0,218.0,109.0,61.0
591,10.0,57.0,248.0,14.0,210.0
